MMSI,Max_Fc,Max_Fchd,Anomaly_Score_Max_Fc,Anomaly_Score_Max_Fchd,EWM_Anomaly_Score_Max_Fc_Max_Fchd
211327410,564.1014812973774,417076085.79720855,-0.08175186734594309,0.03170486143387358,-0.025023502956034754
211335760,361.66151317743146,155669829.10367316,-0.04898182812653673,0.03273140423366433,-0.0081252119464362
215071000,3.9544335376954116,6699.901962041226,0.16609184498976992,0.1911303619677942,0.17861110347878206
219031000,0.0,0.0,0.16065462762119842,0.1919257700368605,0.17629019882902947
220593000,1374.2619555112494,873617051.8396381,0.01828600914472539,-0.0079442886256601,0.005170860259532645
249414000,3464.0709744658197,887268785.6381521,-0.07427067604648363,-0.021303148495312008,-0.04778691227089782
255805750,0.0,0.0,0.16065462762119842,0.1919257700368605,0.17629019882902947
256785000,1.0934794199136795,1302.3556128180683,0.15281108893300344,0.1919257700368605,0.17236842948493197
303340000,61.64552215219146,1491293.781699393,-0.008056369380331718,0.14459484049922028,0.06826923555944428
303352000,4537.110284052806,10317793642.531546,-0.10864671794115821,-0.2054611638758559,-0.15705394090850705
308717000,2.15096646703715,2473.446127786096,0.16544794426728693,0.19178029204864272,0.17861411815796482
311000111,103.67031838806467,2804231.4479561863,-0.028259346401648067,0.12257643924723333,0.04715854642279263
311000421,2.3727995903605423,2954.8042911936973,0.16796984983374252,0.19178029204864272,0.17987507094119262
319200700,2.5706868142871575,7097.206415854424,0.16764700077288142,0.1911303619677942,0.1793886813703378
319819000,2.8219284817387886,4578.559487017183,0.1674634850922091,0.19146009251043272,0.1794617888013209
338500000,3.75580319986706,6918.403395422196,0.16625236849438113,0.1911303619677942,0.17869136523108767
351249000,4.081762219868378,17512.37391618712,0.16359580106461435,0.1841061078793006,0.17385095447195748
351340000,1.3832477434867,1558.268910361882,0.15708807001487746,0.1919257700368605,0.17450692002586898
352413000,1299.3002426285045,427381485.1199366,0.02091094540901306,0.029234831692081353,0.025072888550547207
352718000,0.0,0.0,0.16065462762119842,0.1919257700368605,0.17629019882902947
353524000,3.2057008793448785,3873.5276063144834,0.16682908857128192,0.19178029204864272,0.17930469030996232
354886000,7.545574097984832,9843.299216179488,0.11355037376599864,0.18688112565174675,0.1502157497088727
356581000,0.0,0.0,0.16065462762119842,0.1919257700368605,0.17629019882902947
357051000,6390.1662239740535,2107901951.5715215,-0.23792569598369873,-0.16990822384288184,-0.20391695991329029
366576000,0.0,0.0,0.16065462762119842,0.1919257700368605,0.17629019882902947
367067110,196.2269582093459,7681053.387564259,-0.05824493917292706,0.09026244545804984,0.016008753142561394
367134000,0.0,0.0,0.16065462762119842,0.1919257700368605,0.17629019882902947
367455580,0.0,0.0,0.16065462762119842,0.1919257700368605,0.17629019882902947
367641230,0.0,0.0,0.16065462762119842,0.1919257700368605,0.17629019882902947
371443000,2059.9615834884944,538077208.6492859,-0.065353381259171,0.017145734552847958,-0.024103823353161524
372399000,1396.284705104092,321425111.96153265,0.004277139239918126,0.017649144101276493,0.01096314167059731
373051000,3.9510087579689785,11497.027405183815,0.16609184498976992,0.18471953102763372,0.17540568800870182
373932000,9121.770805536149,5849403469.876135,-0.32015433304331586,-0.14199449599073533,-0.2310744145170256
374077000,2.6754279796584055,6388.788604027263,0.1685042958946137,0.1911303619677942,0.17981732893120395
416497000,3.7380711437175123,6604.071901086335,0.16576571583985816,0.1911303619677942,0.17844803890382618
431496000,3932.02781375804,9545280959.039783,-0.11040196783471146,-0.19592747705814528,-0.15316472244642837
477848700,2583.6187054291026,800519105.3400998,-0.04371309668220713,0.005700630118090855,-0.019006233282058138
477969700,2515.2734886953094,693953380.0530193,-0.023682579849102048,0.027438245991376953,0.0018778330711374525
538005018,4573.695579895336,5898336299.013314,-0.11101744009710612,-0.1426187384578873,-0.12681808927749672
538005057,1034.6420519420326,194620516.46948886,-0.05345882193545748,0.019593657252856556,-0.01693258234130046
538005422,0.0,0.0,0.16065462762119842,0.1919257700368605,0.17629019882902947
538005965,2453.7249671172167,729546340.5088282,-0.032117408811496495,0.027103628565818993,-0.002506890122838751
538007675,317.1020294529849,83518427.10902312,-0.0455084383874208,0.033372216569668045,-0.0060681109088763785
538008361,1316.831961238613,355184637.3266536,0.02826222814349627,0.027259874789263838,0.027761051466380054
563458000,0.0,0.0,0.16065462762119842,0.1919257700368605,0.17629019882902947
565473000,0.0,0.0,0.16065462762119842,0.1919257700368605,0.17629019882902947
565747000,3579.7773259674814,440577860178.3018,-0.06968397629331868,-0.402987109093211,-0.23633554269326484
636014121,4.191173017040095,12611.76469224211,0.1607743936096157,0.18471953102763372,0.1727469623186247
636016769,4.372104938310658,6981.368081040696,0.15927520745428697,0.1911303619677942,0.1752027847110406
636017294,0.0,0.0,0.16065462762119842,0.1919257700368605,0.17629019882902947
636017857,1335.0410030409191,621380987.4893336,0.024203589097268496,0.024578334696750415,0.024390961897009455
636018341,17.514069656002587,345133.65128862235,0.02592986388359303,0.1614349821629067,0.09368242302324986
636019627,2.4123137831007133,5633.520797650164,0.16796984983374252,0.19146009251043272,0.17971497117208762
636090862,5.828060944821095,9626.17792614482,0.13250396465334996,0.18688112565174675,0.15969254515254835
